Id,label
59999,7
60000,7
60001,8
60002,4
60003,4
60004,9
60005,1
60006,4
60007,3
60008,2
60009,6
60010,6
60011,8
60012,8
60013,9
60014,5
60015,2
60016,5
60017,3
60018,1
60019,4
60020,8
60021,3
60022,0
60023,9
60024,5
60025,9
60026,1
60027,8
60028,3
60029,1
60030,9
60031,2
60032,7
60033,8
60034,8
60035,4
60036,7
60037,6
60038,0
60039,7
60040,9
60041,4
60042,4
60043,1
60044,7
60045,6
60046,6
60047,2
60048,7
60049,4
60050,7
60051,8
60052,1
60053,6
60054,9
60055,1
60056,7
60057,7
60058,1
60059,7
60060,6
60061,8
60062,5
60063,8
60064,7
60065,8
60066,2
60067,9
60068,6
60069,6
60070,8
60071,5
60072,0
60073,2
60074,1
60075,8
60076,1
60077,1
60078,3
60079,9
60080,1
60081,1
60082,4
60083,2
60084,0
60085,0
60086,0
60087,5
60088,2
60089,2
60090,3
60091,7
60092,7
60093,0
60094,4
60095,9
60096,5
60097,3
60098,8
60099,7
60100,0
60101,6
60102,7
60103,5
60104,3
60105,2
60106,6
60107,7
60108,5
60109,8
60110,8
60111,9
60112,5
60113,2
60114,9
60115,7
60116,1
60117,9
60118,5
60119,8
60120,9
60121,4
60122,1
60123,3
60124,0
60125,5
60126,8
60127,8
60128,8
60129,3
60130,1
60131,5
60132,1
60133,9
60134,1
60135,3
60136,8
60137,2
60138,9
60139,2
60140,5
60141,6
60142,7
60143,8
60144,3
60145,8
60146,3
60147,0
60148,5
60149,7
60150,9
60151,8
60152,1
60153,1
60154,1
60155,3
60156,9
60157,0
60158,5
60159,8
60160,2
60161,9
60162,2
60163,4
60164,6
60165,5
60166,5
60167,3
60168,5
60169,1
60170,7
60171,7
60172,0
60173,9
60174,8
60175,1
60176,7
60177,0
60178,0
60179,9
60180,4
60181,4
60182,7
60183,3
60184,1
60185,5
60186,2
60187,0
60188,1
60189,1
60190,0
60191,4
60192,7
60193,2
60194,0
60195,2
60196,4
60197,3
60198,0
60199,8
60200,4
60201,1
60202,8
60203,3
60204,9
60205,0
60206,1
60207,5
60208,0
60209,4
60210,5
60211,8
60212,0
60213,3
60214,4
60215,0
60216,6
60217,0
60218,5
60219,4
60220,2
60221,9
60222,1
60223,8
60224,6
60225,0
60226,1
60227,3
60228,8
60229,2
60230,1
60231,3
60232,3
60233,1
60234,6
60235,0
60236,4
60237,5
60238,5
60239,8
60240,9
60241,9
60242,8
60243,9
60244,8
60245,4
60246,5
60247,7
60248,8
60249,4
60250,8
60251,7
60252,0
60253,4
60254,0
60255,1
60256,0
60257,6
60258,8
60259,9
60260,8
60261,0
60262,9
60263,5
60264,4
60265,2
60266,4
60267,1
60268,3
60269,3
60270,2
60271,4
60272,6
60273,2
60274,0
60275,3
60276,3
60277,7
60278,2
60279,3
60280,6
60281,5
60282,0
